frames,resolution,stdit_t,a100_latency_s,a100_power_w,qdare_latency_s_cycle_model,vida_a100_speedup,vida_latency_s_derived,a100_video_per_s,qdare_video_per_s,vida_video_per_s_derived,a100_steps_per_s,qdare_steps_per_s,a100_steps_per_s_per_w,qdare_steps_per_s_per_w,a100_steps_per_s_per_kw,qdare_steps_per_s_per_kw,qdare_vs_a100_video_throughput,qdare_vs_a100_step_throughput,qdare_vs_a100_step_energy_efficiency,qdare_vs_vida_video_throughput,qdare_vs_a100_area_efficiency,a100_energy_j,qdare_energy_j
64,512,19,46.64761940917969,383.50351754739813,2.947649094,15.718320502077416,2.967722881271857,0.021437321189497014,0.33925340775315505,0.33695868516248956,0.6431196356849105,6.445814747309946,0.0016769588967470834,0.6134431028312789,1.6769588967470834,613.4431028312789,15.825363848136426,10.02273043715307,365.80688055098915,1.0068101007384893,404.77334918439,17889.526128632693,30.9727176201144
256,512,76,206.84228359375,358.2243324175824,11.852652751,16.288764642807173,12.698463519459583,0.004834601429773696,0.08436929867161008,0.07874968483136278,0.14503804289321087,1.6030166747605916,0.00040488048903428457,0.15255783192742317,0.4048804890342846,152.55783192742317,17.451138402438968,11.052387654878013,376.797193392307,1.0713604613438306,446.356608670793,74095.93895609936,124.54293404640761
512,512,151,445.60733203125,337.40603609369003,23.748788161,17.195307086886114,25.914473628161574,0.002244128245021496,0.042107411680154236,0.03858847431549942,0.06732384735064487,0.8000408219229305,0.0001995336186930294,0.07613925367571381,0.1995336186930294,76.1392536757138,18.763371377535023,11.883468539105515,381.5860914788977,1.0911914095354995,479.92025632761283,150350.60355494884,249.5427664805236
