timestamp,index,uuid,power_draw_w,utilization_gpu_pct,memory_used_mib
2026/09/09 15:21:41.150, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.34, 0, 450
2026/09/09 15:21:41.257, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.34, 0, 450
2026/09/09 15:21:41.357, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.28, 0, 450
2026/09/09 15:21:41.457, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.56, 0, 450
2026/09/09 15:21:41.557, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.28, 0, 450
2026/09/09 15:21:41.658, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.34, 0, 450
2026/09/09 15:21:41.758, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.34, 0, 450
2026/09/09 15:21:41.858, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.28, 0, 450
2026/09/09 15:21:41.958, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 56.89, 0, 450
2026/09/09 15:21:42.058, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 56.89, 0, 450
2026/09/09 15:21:42.159, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.28, 0, 450
2026/09/09 15:21:42.259, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.28, 0, 450
2026/09/09 15:21:42.359, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.34, 0, 450
2026/09/09 15:21:42.459, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.34, 0, 450
2026/09/09 15:21:42.559, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.28, 0, 450
2026/09/09 15:21:42.659, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.22, 0, 450
2026/09/09 15:21:42.760, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.28, 0, 450
2026/09/09 15:21:42.860, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.28, 0, 450
2026/09/09 15:21:42.960, 0, GPU-35ec6990-2b13-fbe4-44c2-103ee00e46b3, 57.22, 0, 450
