timestamp,index,uuid,power_draw_w,utilization_gpu_pct,memory_used_mib
2026/09/09 16:14:30.765, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:30.872, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:30.973, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:31.073, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.28, 0, 437
2026/09/09 16:14:31.174, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:31.274, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:31.374, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:31.474, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:31.574, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:31.675, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:31.775, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:31.875, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:31.975, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:32.076, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:32.176, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:32.276, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.28, 0, 437
2026/09/09 16:14:32.376, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 60.25, 0, 437
2026/09/09 16:14:32.477, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:32.577, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.28, 0, 437
2026/09/09 16:14:32.677, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.28, 0, 437
2026/09/09 16:14:32.777, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.28, 0, 437
2026/09/09 16:14:32.878, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:32.978, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:33.078, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:33.178, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:33.278, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 57.98, 0, 437
2026/09/09 16:14:33.379, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 57.98, 0, 437
2026/09/09 16:14:33.479, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:33.579, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:33.679, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.34, 0, 437
2026/09/09 16:14:33.780, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:33.880, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:33.980, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:34.080, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:34.182, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.28, 0, 437
2026/09/09 16:14:34.282, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.28, 0, 437
2026/09/09 16:14:34.383, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.56, 0, 437
2026/09/09 16:14:34.483, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.56, 0, 437
2026/09/09 16:14:34.583, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:34.685, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:34.785, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:34.885, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:34.985, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:35.085, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:35.185, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:35.286, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:35.386, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:35.486, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.28, 0, 437
2026/09/09 16:14:35.586, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.38, 0, 437
2026/09/09 16:14:35.686, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:35.787, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:35.887, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:35.987, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:36.087, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:36.187, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:36.288, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:36.388, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:36.488, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:36.588, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:36.689, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:36.789, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:36.889, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:36.989, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:37.090, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.38, 0, 437
2026/09/09 16:14:37.190, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:37.290, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.31, 0, 437
2026/09/09 16:14:37.390, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:37.490, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:37.591, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:37.691, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:37.791, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:37.891, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:37.992, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:38.092, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:38.192, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:38.292, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:38.393, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:38.493, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:38.593, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:38.693, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:38.793, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:38.894, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:38.994, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:39.094, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:39.194, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:39.295, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:39.395, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:39.495, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.04, 0, 437
2026/09/09 16:14:39.595, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:39.695, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:39.796, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:39.896, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:39.996, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:40.096, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:40.197, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:40.297, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:40.397, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 0, 437
2026/09/09 16:14:40.497, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:40.598, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:40.698, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:40.798, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.10, 0, 437
2026/09/09 16:14:40.898, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 437
2026/09/09 16:14:40.998, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.38, 0, 437
2026/09/09 16:14:41.100, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:41.200, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 0, 437
2026/09/09 16:14:41.300, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 0, 437
2026/09/09 16:14:41.400, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 0, 454
2026/09/09 16:14:41.501, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 62.05, 0, 1359
2026/09/09 16:14:41.602, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 3, 1359
2026/09/09 16:14:41.702, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 3, 1359
2026/09/09 16:14:41.802, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 1, 1359
2026/09/09 16:14:41.902, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.28, 1, 1359
2026/09/09 16:14:42.002, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 1, 1359
2026/09/09 16:14:42.103, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 1, 1359
2026/09/09 16:14:42.203, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.44, 1, 1359
2026/09/09 16:14:42.303, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 1, 1359
2026/09/09 16:14:42.403, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.22, 1, 1359
2026/09/09 16:14:42.504, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 1, 1359
2026/09/09 16:14:42.604, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.56, 1, 1359
2026/09/09 16:14:42.704, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.56, 1, 1359
2026/09/09 16:14:42.804, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 1, 1359
2026/09/09 16:14:42.905, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 1, 1359
2026/09/09 16:14:43.005, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 1, 1359
2026/09/09 16:14:43.105, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.49, 1, 1359
2026/09/09 16:14:43.205, 0, GPU-8273c341-c4da-d57e-3083-87f92574de95, 58.16, 1, 1359
